 4980.005000  16417.017578
 4980.010000  16417.853516
 4980.015000  16418.673828
 4980.020000  16419.429688
 4980.025000  16420.021484
 4980.030000  16420.611328
 4980.035000  16421.189453
 4980.040000  16421.671875
 4980.045000  16422.095703
 4980.050000  16422.531250
 4980.055000  16422.851562
 4980.060000  16423.080078
 4980.065000  16423.277344
 4980.070000  16423.396484
 4980.075000  16423.478516
 4980.080000  16423.449219
 4980.085000  16423.324219
 4980.090000  16423.166016
 4980.095000  16422.974609
 4980.100000  16422.599609
 4980.105000  16422.119141
 4980.110000  16421.619141
 4980.115000  16420.966797
 4980.120000  16420.316406
 4980.125000  16419.476562
 4980.130000  16418.509766
 4980.135000  16417.531250
 4980.140000  16416.378906
 4980.145000  16415.169922
 4980.150000  16413.841797
 4980.155000  16412.365234
 4980.160000  16410.824219
 4980.165000  16409.128906
 4980.170000  16407.417969
 4980.175000  16405.498047
 4980.180000  16403.500000
 4980.185000  16401.441406
 4980.190000  16399.191406
 4980.195000  16396.958984
 4980.200000  16394.525391
 4980.205000  16392.078125
 4980.210000  16389.552734
 4980.215000  16386.882812
 4980.220000  16384.179688
 4980.225000  16381.459961
 4980.230000  16378.624023
 4980.235000  16375.689453
 4980.240000  16372.803711
 4980.245000  16369.806641
 4980.250000  16366.892578
 4980.255000  16363.826172
 4980.260000  16360.790039
 4980.265000  16357.699219
 4980.270000  16354.617188
 4980.275000  16351.628906
 4980.280000  16348.552734
 4980.285000  16345.503906
 4980.290000  16342.510742
 4980.295000  16339.495117
 4980.300000  16336.548828
 4980.305000  16333.666016
 4980.310000  16330.803711
 4980.315000  16327.984375
 4980.320000  16325.307617
 4980.325000  16322.570312
 4980.330000  16319.912109
 4980.335000  16317.331055
 4980.340000  16314.860352
 4980.345000  16312.414062
 4980.350000  16310.096680
 4980.355000  16307.838867
 4980.360000  16305.659180
 4980.365000  16303.540039
 4980.370000  16301.593750
 4980.375000  16299.555664
 4980.380000  16297.670898
 4980.385000  16295.937500
 4980.390000  16294.171875
 4980.395000  16292.565430
 4980.400000  16291.092773
 4980.405000  16289.593750
 4980.410000  16288.194336
 4980.415000  16286.785156
 4980.420000  16285.544922
 4980.425000  16284.344727
 4980.430000  16283.209961
 4980.435000  16282.094727
 4980.440000  16281.088867
 4980.445000  16280.152344
 4980.450000  16279.261719
 4980.455000  16278.426758
 4980.460000  16277.557617
 4980.465000  16276.849609
 4980.470000  16276.125977
 4980.475000  16275.458008
 4980.480000  16274.833984
 4980.485000  16274.200195
 4980.490000  16273.678711
 4980.495000  16273.174805
 4980.500000  16270.641602
 4980.505000  16270.264648
 4980.510000  16269.903320
 4980.515000  16269.527344
 4980.520000  16269.148438
 4980.525000  16268.813477
 4980.530000  16268.596680
 4980.535000  16268.314453
 4980.540000  16268.048828
 4980.545000  16267.876953
 4980.550000  16267.697266
 4980.555000  16267.639648
 4980.560000  16267.581055
 4980.565000  16267.478516
 4980.570000  16267.444336
 4980.575000  16267.472656
 4980.580000  16267.485352
 4980.585000  16267.604492
 4980.590000  16267.706055
 4980.595000  16267.810547
